county,poverty_rate,health_insurance,median_household_income,unemployment_rate,public_transit,median_house_value,median_gross_rent,bachelor_holders,public_assistance
"Baldwin County, Alabama",9.7,93.2,72915,2.0,0.0,307000,1286,20.64,0.58
"Calhoun County, Alabama",21.3,91.1,50780,5.4,0.0,160900,782,11.84,1.65
"Cullman County, Alabama",18.3,89.4,58923,3.8,0.3,204000,788,10.75,1.34
"DeKalb County, Alabama",24.7,86.1,43509,3.8,0.0,156800,659,9.33,2.66
"Elmore County, Alabama",12.9,92.4,72478,2.7,0.0,229900,933,17.73,0.17
"Etowah County, Alabama",20.9,89.1,52192,6.6,0.0,188200,760,10.05,1.85
"Houston County, Alabama",16.7,90.0,59335,4.0,0.5,187100,957,12.83,1.24
"Jefferson County, Alabama",15.9,90.6,64623,3.5,0.5,249000,1164,20.76,1.54
"Lauderdale County, Alabama",11.7,92.9,64864,4.8,0.0,211700,745,16.61,1.35
"Lee County, Alabama",19.2,91.7,60358,5.4,0.9,280900,979,21.91,0.65
"Limestone County, Alabama",7.3,93.1,81942,3.4,0.0,292500,999,19.26,0.73
"Madison County, Alabama",10.5,93.0,86192,2.7,0.0,316200,1263,27.44,1.88
"Marshall County, Alabama",17.4,89.4,60298,3.3,0.3,199000,724,13.16,0.96
"Mobile County, Alabama",15.8,90.8,55352,3.1,0.4,191600,1022,16.44,1.14
"Montgomery County, Alabama",17.9,89.9,60739,4.5,0.4,170700,1023,17.93,1.59
"Morgan County, Alabama",10.2,91.3,75028,3.4,0.6,222000,870,16.18,0.89
"St. Clair County, Alabama",8.9,93.3,81334,3.5,0.0,223400,1027,16.04,0.6
"Shelby County, Alabama",9.0,93.1,88070,2.9,0.0,326600,1363,26.4,0.38
"Talladega County, Alabama",16.2,92.6,61111,4.0,0.0,154400,728,7.94,1.11
"Tuscaloosa County, Alabama",19.5,93.8,60926,5.8,1.3,248200,975,16.49,1.46
"Anchorage Municipality, Alaska",8.4,92.3,94437,4.3,1.2,385900,1474,21.97,5.33
"Fairbanks North Star Borough, Alaska",6.7,88.9,86391,3.7,0.9,285700,1503,17.3,3.99
"Matanuska-Susitna Borough, Alaska",10.1,90.5,93673,2.3,0.5,341300,1195,14.84,5.88
"Apache County, Arizona",29.8,86.0,40539,11.2,0.3,52700,607,8.53,2.97
"Cochise County, Arizona",15.9,90.2,52025,6.3,0.0,235200,988,14.46,2.97
"Coconino County, Arizona",18.6,91.2,71738,5.5,1.9,470900,1579,19.41,1.92
"Maricopa County, Arizona",10.9,90.2,87048,3.7,1.3,468700,1766,21.43,1.52
"Mohave County, Arizona",17.0,90.6,55954,5.6,0.0,293800,1077,10.03,1.9
"Navajo County, Arizona",25.6,87.1,50754,8.1,0.6,241400,869,10.78,3.45
"Pima County, Arizona",13.7,91.1,69758,4.6,2.0,337800,1263,19.66,1.92
"Pinal County, Arizona",11.5,89.1,77143,5.1,0.1,370600,1520,14.44,1.74
"Yavapai County, Arizona",13.0,91.0,67245,4.2,0.1,454200,1442,17.25,2.5
"Yuma County, Arizona",15.0,86.3,62888,6.8,0.4,246900,1055,11.18,1.43
"Benton County, Arkansas",7.4,89.9,92759,3.8,0.0,367400,1365,23.94,0.61
"Craighead County, Arkansas",17.4,90.3,59776,5.3,0.0,189700,968,16.82,0.59
"Faulkner County, Arkansas",13.9,93.3,67786,3.1,0.0,238700,1000,19.68,0.81
