0,1_x,2_x,3_x,4_x,5_x,6,7,1_y,2_y,1,2,3_y,4_y,5_y
NAME,S1701_C03_001E,S2701_C03_001E,S1901_C01_012E,S1501_C01_005E,S1501_C01_012E,S1501_C01_001E,S1501_C01_006E,DP03_0009PE,DP03_0021PE,B19057_002E,B19057_001E,B25077_001E,B25064_001E,ucgid
Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Estimate!!Percent Insured!!Civilian noninstitutionalized population,Estimate!!Households!!Median income (dollars),Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Estimate!!Total:!!With public assistance income,Estimate!!Total:,Estimate!!Median value (dollars),Estimate!!Median gross rent,Geography
"Baldwin County, Alabama",9.7,93.2,72915,2213,39152,15552,184852,2.0,0.0,618,105698,307000,1286,0500000US01003
"Calhoun County, Alabama",21.3,91.1,50780,605,10275,13499,78420,5.4,0.0,766,46310,160900,782,0500000US01015
"Cullman County, Alabama",18.3,89.4,58923,661,7026,7223,64307,3.8,0.3,483,35961,204000,788,0500000US01043
"DeKalb County, Alabama",24.7,86.1,43509,594,4553,6538,48611,3.8,0.0,722,27182,156800,659,0500000US01049
"Elmore County, Alabama",12.9,92.4,72478,278,12309,7135,63874,2.7,0.0,56,33692,229900,933,0500000US01051
"Etowah County, Alabama",20.9,89.1,52192,420,7682,7845,72785,6.6,0.0,741,40027,188200,760,0500000US01055
"Houston County, Alabama",16.7,90.0,59335,478,10264,8570,75141,4.0,0.5,557,44880,187100,957,0500000US01069
"Jefferson County, Alabama",15.9,90.6,64623,10052,96217,62150,449622,3.5,0.5,4200,272648,249000,1164,0500000US01073
"Lauderdale County, Alabama",11.7,92.9,64864,1177,11803,12696,65471,4.8,0.0,555,41199,211700,745,0500000US01077
"Lee County, Alabama",19.2,91.7,60358,4084,27718,31710,113445,5.4,0.9,484,74799,280900,979,0500000US01081
"Limestone County, Alabama",7.3,93.1,81942,492,16614,8857,79975,3.4,0.0,319,43490,292500,999,0500000US01083
"Madison County, Alabama",10.5,93.0,86192,8256,80680,39939,284230,2.7,0.0,3173,168996,316200,1263,0500000US01089
"Marshall County, Alabama",17.4,89.4,60298,252,9613,8496,66443,3.3,0.3,347,36274,199000,724,0500000US01095
"Mobile County, Alabama",15.8,90.8,55352,3210,48785,35086,281188,3.1,0.4,1873,163963,191600,1022,0500000US01097
"Montgomery County, Alabama",17.9,89.9,60739,1326,29308,21517,149322,4.5,0.4,1480,92816,170700,1023,0500000US01101
"Morgan County, Alabama",10.2,91.3,75028,1034,14505,10331,85702,3.4,0.6,444,49759,222000,870,0500000US01103
"St. Clair County, Alabama",8.9,93.3,81334,1234,10679,7005,67264,3.5,0.0,213,35354,223400,1027,0500000US01115
"Shelby County, Alabama",9.0,93.1,88070,3337,44346,18703,161917,2.9,0.0,335,88270,326600,1363,0500000US01117
"Talladega County, Alabama",16.2,92.6,61111,279,4875,5939,58972,4.0,0.0,379,34080,154400,728,0500000US01121
"Tuscaloosa County, Alabama",19.5,93.8,60926,4440,26745,45036,144051,5.8,1.3,1375,93966,248200,975,0500000US01125
"Anchorage Municipality, Alaska",8.4,92.3,94437,1333,46863,26216,193169,4.3,1.2,5821,109125,385900,1474,0500000US02020
"Fairbanks North Star Borough, Alaska",6.7,88.9,86391,661,11808,10926,61164,3.7,0.9,1496,37510,285700,1503,0500000US02090
"Matanuska-Susitna Borough, Alaska",10.1,90.5,93673,143,12636,9360,76765,2.3,0.5,2345,39870,341300,1195,0500000US02170
"Apache County, Arizona",29.8,86.0,40539,164,3971,5499,42999,11.2,0.3,712,24010,52700,607,0500000US04001
"Cochise County, Arizona",15.9,90.2,52025,0,13568,9920,89455,6.3,0.0,1512,50919,235200,988,0500000US04003
"Coconino County, Arizona",18.6,91.2,71738,2521,20233,29090,88138,5.5,1.9,1096,56954,470900,1579,0500000US04005
