poverty_rate,health_insurance,unemployment_rate,bachelor_holders,public_assistance,log_median_income,log_public_transit,sqrt_median_house_value
9.7,93.2,2.0,20.64,0.58,11.197049658147666,0.0,554.0758070878028
21.3,91.1,5.4,11.84,1.65,10.83525785525867,0.0,401.1234224026316
18.3,89.4,3.8,10.75,1.34,10.983986785777311,0.262364264467491,451.6635916254486
24.7,86.1,3.8,9.33,2.66,10.68072309222836,0.0,395.9797974644666
12.9,92.4,2.7,17.73,0.17,11.19103834651716,0.0,479.4788837894741
20.9,89.1,6.6,10.05,1.85,10.86268450542074,0.0,433.82023926967724
16.7,90.0,4.0,12.83,1.24,10.990954630099239,0.4054651081081644,432.5505750776434
15.9,90.6,3.5,20.76,1.54,11.07632566355621,0.4054651081081644,498.998997994986
11.7,92.9,4.8,16.61,1.35,11.080048049251726,0.0,460.10868281309365
19.2,91.7,5.4,21.91,0.65,11.008048777806648,0.6418538861723948,530.0
7.3,93.1,3.4,19.26,0.73,11.313766958906479,0.0,540.8326913195984
10.5,93.0,2.7,27.44,1.88,11.364332644920315,0.0,562.3166367803819
17.4,89.4,3.3,13.16,0.96,11.007054214669369,0.262364264467491,446.09416046390925
15.8,90.8,3.1,16.44,1.14,10.921468071178648,0.33647223662121295,437.7213725647858
17.9,89.9,4.5,17.93,1.59,11.014341274848803,0.33647223662121295,413.158565202272
10.2,91.3,3.4,16.18,0.89,11.225616656180232,0.4700036292457356,471.16875957558983
8.9,93.3,3.5,16.04,0.6,11.306319412294949,0.0,472.65209192385896
9.0,93.1,2.9,26.4,0.38,11.385887231799504,0.0,571.489282489182
16.2,92.6,4.0,7.94,1.11,11.020447161688963,0.0,392.93765408777
19.5,93.8,5.8,16.49,1.46,11.017415291982012,0.832909122935104,498.19674828324605
8.4,92.3,4.3,21.97,5.33,11.45568822449413,0.7884573603642702,621.2084996198942
6.7,88.9,3.7,17.3,3.99,11.366638782699756,0.6418538861723948,534.5091205957107
10.1,90.5,2.3,14.84,5.88,11.4475652730203,0.4054651081081644,584.2088667591412
29.8,86.0,11.2,8.53,2.97,10.610019752706195,0.262364264467491,229.56480566497993
15.9,90.2,6.3,14.46,2.97,10.859479651261836,0.0,484.9742261192856
18.6,91.2,5.5,19.41,1.92,11.180775872247704,1.0647107369924282,686.2215385719105
10.9,90.2,3.7,21.43,1.52,11.374214969630849,0.832909122935104,684.6166810705097
17.0,90.6,5.6,10.03,1.9,10.932285203588544,0.0,542.0332093147061
25.6,87.1,8.1,10.78,3.45,10.834745711532069,0.4700036292457356,491.32473986152985
13.7,91.1,4.6,19.66,1.92,11.152787388447106,1.0986122886681098,581.2056434688157
11.5,89.1,5.1,14.44,1.74,11.253416121335281,0.09531017980432487,608.7692502089769
13.0,91.0,4.2,17.25,2.5,11.11609794525765,0.09531017980432487,673.9436178197699
15.0,86.3,6.8,11.18,1.43,11.049110645473592,0.33647223662121295,496.8903299521938
7.4,89.9,3.8,23.94,0.61,11.437760010802517,0.0,606.1352984276696
17.4,90.3,5.3,16.82,0.59,10.998359521588515,0.0,435.54563480765137
13.9,93.3,3.1,19.68,0.81,11.124110962931043,0.0,488.5693400122443
20.4,91.3,4.3,19.37,1.99,10.864273524296834,0.09531017980432487,470.0
23.5,96.1,5.8,13.73,8.2,10.800493522998416,0.4054651081081644,303.31501776206204
8.4,95.1,5.0,14.94,1.48,11.229593915255705,0.0,435.08619835614184
15.5,90.2,3.2,21.46,1.3,11.020741664308893,0.9555114450274363,471.6990566028302
10.4,94.1,2.7,18.3,0.88,11.255164588634324,0.0,485.28342234203717
11.0,91.0,4.7,13.64,1.38,10.967318592363615,0.0,437.6071297408213
14.2,87.9,3.0,19.87,0.26,11.089270927661854,0.18232155679395465,570.701322935211
17.0,92.4,4.3,12.34,2.17,10.890944791838075,0.0,418.44951905815356
9.5,96.2,5.3,26.76,3.71,11.694671856388286,2.302585092994046,1033.3440859655607
21.1,94.1,6.9,17.67,3.88,11.054407620827583,0.6931471805599453,648.459713474939
8.3,94.7,5.6,27.21,2.56,11.71826343356664,2.0014800002101243,910.823802938856
6.3,95.7,5.1,24.97,1.9,11.595371436336926,0.4054651081081644,831.6249154516717
17.8,93.0,7.3,14.57,5.95,11.180092597802776,0.6931471805599453,628.8879073412049
16.2,95.0,6.7,22.37,2.92,11.02875800051622,0.5877866649021191,684.1052550594828
16.9,93.7,9.3,9.81,5.77,11.006141662030569,0.0,576.107628833363
19.2,91.7,8.4,11.41,5.49,11.140309855323784,0.33647223662121295,588.727441181401
17.1,91.5,9.7,7.18,5.32,11.103888987106272,0.4700036292457356,590.592922409336
17.0,94.0,6.0,8.39,2.57,10.99278997187846,0.0,580.2585630561604
13.7,92.4,5.9,22.13,4.19,11.36890496780863,1.62924053973028,910.3296106356203
18.2,92.1,7.7,9.75,5.09,11.105753901695289,0.5877866649021191,631.2685640834652
9.0,97.1,4.7,29.68,1.85,11.846851605896077,1.589235205116581,1229.7154142320896
12.3,95.9,9.2,18.04,2.89,11.119201163065084,0.0,714.4228439796701
19.1,92.0,9.2,9.73,4.75,10.960756877669855,0.33647223662121295,639.5310782127792
14.3,90.5,3.6,15.36,1.95,11.385489741660544,0.8754687373538999,871.2634503983281
9.0,96.4,3.7,23.59,1.38,11.558720672540662,0.5877866649021191,912.0307012376283
